,age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,sex_F,sex_M,school_GP,school_MS,address_R,address_U,famsize_GT3,famsize_LE3,Pstatus_A,Pstatus_T,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,avgGrade
0,0.428571429,1,1,0.333333333,0.333333333,0,1,0,0,0,1,1,0,0,0.75,0.5,0.75,0,0,0.5,0.08,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,5.666666667
1,0.285714286,0.25,0.25,0,0.333333333,0,0,1,0,0,0,1,1,0,1,0.5,0.5,0,0,0.5,0.053333333,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5.333333333
2,0,0.25,0.25,0,0.333333333,1,1,0,1,0,1,1,1,0,0.75,0.5,0.25,0.25,0.5,0.5,0.133333333,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,8.333333333
3,0,1,0.5,0,0.666666667,0,0,1,1,1,1,1,1,1,0.5,0.25,0.25,0,0,1,0.026666667,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,14.66666667
4,0.142857143,0.75,0.75,0,0.333333333,0,0,1,1,0,1,1,0,0,0.75,0.5,0.25,0,0.25,1,0.053333333,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,8.666666667
5,0.142857143,1,0.75,0,0.333333333,0,0,1,1,1,1,1,1,0,1,0.75,0.25,0,0.25,1,0.133333333,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,15
6,0.142857143,0.5,0.5,0,0.333333333,0,0,0,0,0,1,1,1,0,0.75,0.75,0.75,0,0,0.5,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,11.66666667
7,0.285714286,1,1,0.333333333,0.333333333,0,1,1,0,0,1,1,0,0,0.75,0,0.75,0,0,0,0.08,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5.666666667
8,0,0.75,0.5,0,0.333333333,0,0,1,1,0,1,1,1,0,0.75,0.25,0.25,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,17.66666667
9,0,0.75,1,0,0.333333333,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,14.66666667
10,0,1,1,0,0.333333333,0,0,1,1,0,1,1,1,0,0.5,0.5,0.5,0,0.25,0.25,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,9
11,0,0.5,0.25,0.666666667,0.666666667,0,0,1,0,1,1,1,1,0,1,0.25,0.25,0,0,0.75,0.053333333,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,11.33333333
12,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0.75,0.5,0.5,0,0.5,1,0.026666667,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,14
13,0,1,0.75,0.333333333,0.333333333,0,0,1,1,0,1,1,1,0,1,0.75,0.5,0,0.25,0.5,0.026666667,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,10.33333333
14,0,0.5,0.5,0,0.666666667,0,0,1,0,0,1,1,1,1,0.75,1,0.25,0,0,0.5,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,15.33333333
15,0.142857143,1,1,0,0,0,0,1,0,0,1,1,1,0,0.75,0.75,0.75,0,0.25,0.25,0.053333333,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,14
16,0.142857143,1,1,0,0.666666667,0,0,1,1,1,1,1,1,0,0.5,0.25,0.5,0,0.25,0.25,0.08,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,13.66666667
17,0.142857143,0.75,0.75,0.666666667,0.333333333,0,1,1,0,1,1,1,0,0,1,0.5,0.25,0,0,0.75,0.053333333,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,9.333333333
18,0.285714286,0.75,0.5,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0.25,0.75,1,0.213333333,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,5.333333333
19,0.142857143,1,0.75,0,0,0,0,0,1,1,1,1,1,0,0.5,0,0.5,0,0.5,1,0.053333333,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,9.333333333
20,0,1,0.75,0,0.333333333,0,0,0,0,0,1,1,1,0,0.75,0.75,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,14
21,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0.75,0.25,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,14
22,0.142857143,1,0.5,0,0.333333333,0,0,0,0,1,1,1,1,0,0.75,1,0,0,0.5,1,0.026666667,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,15.33333333
23,0.142857143,0.5,0.5,0.333333333,0.333333333,0,0,1,0,1,1,1,1,0,1,0.75,0.75,0.25,0.75,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,12.66666667
24,0,0.5,1,0,0.666666667,0,1,1,1,1,1,1,1,0,0.75,0.5,0.25,0,0,1,0.026666667,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,9
25,0.142857143,0.5,0.5,0,0,0.666666667,0,1,1,0,0,1,1,0,0,0.25,0.25,0,0.5,1,0.186666667,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,7.666666667
26,0,0.5,0.5,0,0,0,0,1,1,0,1,1,1,0,0.75,0.25,0.25,0,0.25,1,0.026666667,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,11.66666667
27,0,1,0.5,0,0,0,0,0,1,0,1,1,1,0,0.25,0.25,0.75,0.25,0.75,0,0.053333333,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,15.33333333
28,0.142857143,0.75,1,0,0.333333333,0,1,1,0,1,1,1,1,0,1,0.5,0.5,0,0,1,0.053333333,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,11
29,0.142857143,1,1,0,0.333333333,0,0,1,1,1,1,1,1,1,0.75,0.75,1,1,1,1,0.213333333,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,11
30,0,1,1,0,0.333333333,0,0,1,1,0,0,1,1,0,1,0.75,0.25,0.5,0.75,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,10.66666667
31,0,1,1,0.333333333,0.333333333,0,0,1,0,1,1,1,1,0,0.75,0.5,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,16.66666667
32,0,1,0.75,0,0.333333333,0,0,1,0,1,1,1,1,1,0.75,1,0.25,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,16.33333333
33,0,0.75,0.75,0,0.333333333,0,0,0,0,1,0,1,1,0,1,0.5,0.25,0,0,0.25,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,10
34,0.142857143,0.75,0.5,0,0,0,0,1,1,0,0,1,1,0,1,0.75,0.5,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,13.66666667
35,0,0.5,0.75,0.333333333,0,0,0,1,0,1,1,1,0,0,0.5,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7
36,0,1,0.75,0,0.666666667,0,0,1,0,1,1,1,1,0,1,0.75,0.5,0,0,0.75,0.026666667,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,16.33333333
37,0.142857143,1,1,0.333333333,0.666666667,0,0,1,0,1,1,1,1,1,0.25,0.75,0.5,0,0,1,0.093333333,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,15.33333333
38,0,0.75,1,0,0.666666667,0,1,1,1,1,1,1,1,0,0.75,0.5,0.25,0,0,1,0.026666667,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,11.66666667
39,0,0.5,0.5,0,0,0,1,1,1,1,1,1,0,0,0.75,0.5,0,0,0,0.25,0.106666667,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,13.33333333
40,0.142857143,0.5,0.5,0.333333333,0.333333333,0.333333333,0,1,0,1,0,1,1,1,0.5,0.5,0.5,0,0.25,0.5,0.333333333,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,9.333333333
41,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0.75,0.5,0.25,0.75,1,0.106666667,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,12
42,0,1,1,0,0.333333333,0,0,1,0,1,1,1,1,0,0.75,0.5,0.5,0,0,1,0.026666667,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,18.33333333
43,0,0.5,0.5,0,0,0,1,1,0,0,1,1,1,0,1,0.75,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,9
44,0.142857143,0.5,0.5,0.333333333,0.333333333,0.333333333,1,0,0,1,1,1,1,0,0.75,0.5,0.5,0.25,0.25,1,0.186666667,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,9.666666667
45,0,1,0.75,0,0.333333333,0,1,1,1,1,1,1,1,1,1,0.25,0.25,0,0,1,0.106666667,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,7.333333333
46,0.142857143,0.75,0.75,0,0.333333333,0,0,1,0,0,1,1,1,0,0.25,0.5,1,0,0.75,0.5,0.16,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,11.33333333
47,0.142857143,1,0.75,0,1,0,0,0,0,1,1,1,1,0,0.75,0.25,0.25,0,0,0.25,0.053333333,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,19.33333333
48,0,1,0.5,0,0.333333333,0,0,1,1,0,1,1,0,0,0.75,0.5,0.5,0.25,0.25,1,0.026666667,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,14.66666667
49,0,1,1,0,0.333333333,0.333333333,1,1,0,1,0,1,1,0,0.75,0.75,0.75,0,0,0.5,0.026666667,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,7
50,0.142857143,0.5,0.5,0.666666667,0.333333333,0,0,1,1,0,1,1,1,0,0.75,0.5,0.5,0.25,0.5,0.75,0.026666667,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,12.66666667
51,0,1,0.5,0,0.333333333,0,0,1,1,0,1,1,1,0,0.75,0.5,0.5,0,0,1,0.026666667,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,12.33333333
52,0,1,0.5,0.333333333,0,0.333333333,0,0,0,0,1,1,0,0,1,1,1,0.5,0.75,1,0.08,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,10.66666667
53,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0.5,0.5,0.75,0.25,0.5,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,9.666666667
54,0,0.75,0.75,0,0,0,0,0,1,0,1,1,1,0,1,0.5,0.75,0.75,0.75,0,0.08,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,12
55,0.142857143,0.5,0.25,0,0.333333333,0,0,0,1,1,1,1,1,1,1,0.5,0.75,0,0,0.25,0.106666667,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,9
56,0,1,0.75,0,0.333333333,0,0,1,1,1,1,1,1,0,0.75,0.5,0.25,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,14.66666667
57,0,1,1,0,0.333333333,0,0,1,0,1,1,1,0,0,0.5,0.25,0.25,0,0,1,0.053333333,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,14.66666667
58,0,0.25,0.5,0,0.333333333,0,1,1,0,1,1,1,1,0,0.75,0.5,0.25,0,0,1,0.026666667,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,9.333333333
59,0.142857143,1,0.5,0,0.333333333,0,0,1,0,0,1,1,1,0,0.75,0.25,0.5,0,0,1,0.026666667,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,15.66666667
60,0.142857143,1,1,0,0.333333333,0,0,1,0,1,1,1,0,0,0.25,0.75,0.75,0.25,0.5,0.75,0.08,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,10.66666667
61,0.142857143,0.25,0.25,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0.08,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,9.666666667
62,0.142857143,0.25,0.5,0,0.333333333,0,1,0,0,1,1,1,1,0,0.75,0.75,0.5,0,0,0,0.053333333,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,9
63,0.142857143,1,0.75,0,0.666666667,0,1,1,1,1,1,1,1,0,0.5,0.75,0.75,0.25,0.75,0.75,0.026666667,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,9.333333333
64,0,1,0.75,0,0.333333333,0,1,0,0,1,1,1,1,1,0.75,0.75,0.75,0.25,0.75,0.25,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,10
65,0.142857143,1,0.75,0.666666667,0.333333333,0,0,1,0,1,1,1,1,0,1,0.75,0.5,0,0.25,0,0.026666667,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,15.33333333
66,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0.5,0.5,1,1,0.5,0.053333333,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,12.66666667
67,0.142857143,0.75,0.25,0,1,0,1,1,1,0,1,1,1,0,0.75,0.5,0.5,0,0.25,1,0.053333333,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,6.666666667
68,0,0.5,0.5,0.333333333,0.333333333,0,1,1,1,0,1,1,1,0,0.75,0,0.5,0,0.5,0.75,0.026666667,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,8.333333333
69,0,0.75,0.25,0.333333333,1,0,0,1,0,0,0,1,1,0,0.75,0.75,0.25,0.25,0.5,0.5,0.16,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,16
70,0.142857143,0.75,0.25,0.333333333,1,0,0,1,1,0,1,1,1,0,0.75,0.5,0.25,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,14.33333333
71,0,1,0.5,0,1,0,0,0,0,0,1,1,1,0,0.5,0.5,0.5,0,0,0.5,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,10
72,0,0.25,0.25,0,0.333333333,0.666666667,1,1,0,0,0,1,1,1,0.5,0.5,0.75,0.25,0.75,1,0.026666667,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,6.333333333
73,0.142857143,0.75,0.25,0,0,0,0,0,0,1,1,1,0,0,1,0.5,0.25,0.25,0.25,1,0.026666667,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,12.66666667
74,0.142857143,0.75,0.75,0,0.333333333,0,1,1,1,1,1,1,1,0,0.75,0.5,0.5,0.25,0.75,1,0.72,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,11.33333333
75,0,1,0.75,0,0.333333333,0,0,1,1,1,1,1,1,0,0.75,0.5,0.5,0.25,0.5,1,0.08,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,9.333333333
76,0,1,0,0.333333333,1,0,0,0,0,1,1,1,1,0,0.5,0.75,0.5,0,0,0,0.106666667,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,10.66666667
77,0.142857143,0.5,0.5,0,1,0,0,0,1,0,1,1,1,1,1,0.25,0.5,0,0.5,0.5,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,11
78,0.285714286,0.5,0.25,0.333333333,0,1,1,1,0,1,1,0,1,0,0.75,1,0,0,0,0.5,0.026666667,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,8.666666667
79,0.142857143,0.75,1,0,0.333333333,0,0,1,0,0,1,1,1,0,0.25,0.75,0.5,0,0.25,0.5,0.16,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5
80,0,0.5,0.75,0,0,0,1,1,1,1,0,1,1,1,0.5,0.25,0.25,0,0.5,0.5,0.026666667,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,11.33333333
81,0,0.5,0.75,0,0.666666667,0,1,0,1,0,0,1,1,0,1,0.5,0.25,0,0.25,1,0.053333333,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,10.66666667
82,0,0.75,0.5,0,0.333333333,0,0,1,1,0,1,1,1,0,0.75,0.75,0.75,0,0,1,0.133333333,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,6.333333333
83,0,0.5,0.5,0.333333333,0.333333333,0,0,0,1,1,1,1,1,0,1,0.5,0.5,0,0.5,0.75,0.053333333,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,15
84,0,0.25,0.25,0,0.333333333,0,0,1,0,1,0,1,1,0,0.75,0.5,0.25,0.25,0.5,0.75,0.026666667,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,9.666666667
85,0,1,1,0.333333333,0.333333333,0.666666667,0,0,1,0,1,1,1,1,0.75,0.75,0.75,0.25,0.5,1,0.08,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,8
86,0.142857143,0.5,0.5,0,0.333333333,0,0,1,0,0,1,1,0,0,0.75,0.5,0.75,0,0.25,0.25,0.053333333,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,7
87,0,1,0.5,0,0.666666667,0,0,1,0,1,1,1,1,0,1,0.5,0.5,0,0.5,0,0.053333333,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,13.66666667
88,0.142857143,0.5,0.5,0.333333333,0.333333333,0.333333333,0,0,1,1,0,1,1,0,0.75,0.75,0.25,0,0,0.5,0.16,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,10.33333333
89,0.142857143,1,1,0,0.333333333,0,0,1,0,0,1,1,0,0,0.75,0,0.5,0.5,1,1,0.24,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,7
90,0.142857143,0.75,0.75,0,0.666666667,0,0,1,1,0,1,1,1,1,0.75,0.5,0.5,0,0.5,0.75,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7.333333333
91,0,1,0.75,0,0,0,0,0,1,1,1,1,1,0,0.75,1,1,0,0.5,0,0.053333333,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,17
92,0.142857143,0.75,0.25,0,0.333333333,0,1,1,0,0,1,1,0,0,0.5,0.5,0.5,0.25,0.5,0.25,0.053333333,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6.333333333
93,0.142857143,1,0.5,0.333333333,0.333333333,0,0,1,1,1,1,1,1,0,1,0.5,0.5,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,10.33333333
94,0,0.5,0.5,0,1,0,0,1,0,1,1,1,1,0,0.75,0.5,0.75,0,0,0.75,0.08,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,12.66666667
95,0,0.25,0.25,0.333333333,1,0.333333333,1,1,1,1,1,1,1,0,0.5,0,0.25,0,0,0,0.026666667,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,9
96,0.142857143,1,0.75,0.333333333,0,0,1,1,0,1,0,1,1,0,0.5,0.5,0.5,0,0,0.75,0.026666667,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,13.66666667
97,0.142857143,0.5,0.25,0,0.333333333,0,0,1,1,0,1,1,0,1,0.75,0.5,1,0,0,1,0.026666667,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,9
98,0.142857143,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0.5,0.75,0,0.25,0,0.08,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,13
99,0.142857143,1,0.75,0,0.666666667,0,1,1,1,0,1,1,1,0,1,0.5,1,0,0,0.5,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8
